variables,clauses,fitness,duration
100,150,3476,100.298560706
100,150,3407,98.072759531
100,150,-1,97.122607589
100,150,4015,103.571792211
100,150,2743,96.993328626
100,150,2139,96.191758118
100,150,3382,100.361800189
100,150,3177,96.49048114
100,150,3645,99.250414306
100,150,3454,97.704608132
100,150,3545,100.017060002
100,150,3103,99.154363526
100,150,3892,100.985523703
100,150,3147,94.216908692
100,150,3065,103.03016065
100,150,3326,97.895817427
100,150,2860,101.857282111
100,150,4007,99.610026896
100,150,2463,99.017536168
100,150,3213,98.86181744
100,150,3909,96.5069815
100,150,2594,94.420388962
100,150,3481,98.130492235
100,150,3302,98.874210038
100,150,2819,97.15049833
100,150,-1,96.706118658
100,150,3550,101.947887758
100,150,3726,99.410352969
100,150,4164,99.849155057
100,150,3442,101.926022105
100,150,3484,102.650764513
100,150,-1,92.558057172
100,150,3773,100.427080137
100,150,3498,93.55777966
100,150,-1,93.788121155
100,150,3448,98.485443749
100,150,3374,102.906014056
100,150,3883,101.982177827
100,150,3189,96.994870596
100,150,2813,97.920087125
100,150,3655,103.245744763
100,150,3000,96.492720764
100,150,3460,107.259557946
100,150,3816,98.304667216
100,150,-1,98.267090751
100,150,2885,95.797508043
100,150,-1,96.237608855
100,150,3098,96.000160277
100,150,3346,99.247023193
100,150,3855,99.209203963
100,150,3004,98.455024027
100,150,3465,99.317500776
100,150,2792,96.377370091
100,150,3637,102.421231212
100,150,-1,98.708286978
100,150,3745,100.409010187
100,150,-2,89.810477529
100,150,-1,95.526443592
100,150,-2,96.299821501
100,150,3285,100.762983993
100,150,2349,96.382365232
100,150,3495,100.600587132
100,150,3697,96.979394676
100,150,3688,100.200046985
100,150,4152,102.675845408
100,150,2866,96.613888776
100,150,4016,105.128975365
100,150,-1,97.168506885
100,150,3727,100.708263788
100,150,2887,97.010828277
100,150,3696,98.52736809
100,150,4595,101.222815164
100,150,2555,99.124779059
100,150,3783,102.5031576
100,150,3339,99.56977068
100,150,4100,96.874768368
100,150,3542,97.38566421
100,150,2855,94.652458737
100,150,3631,98.258074552
100,150,3753,101.614691629
100,150,3764,100.677022964
100,150,3627,98.51202229
100,150,3015,93.076753257
100,150,-1,90.603413159
100,150,-1,98.168200128
100,150,3650,100.076674359
100,150,2750,99.792766815
100,150,-1,97.816446426
100,150,3089,99.343741791
100,150,-1,94.867020776
100,150,-1,94.566610937
100,150,2726,102.43615471
100,150,3070,102.071315076
100,150,-2,97.061885746
100,150,-1,88.334700856
100,150,-2,96.371873282
100,150,-1,92.868975165
100,150,3865,104.379411744
100,150,-1,98.871420994
100,150,2522,96.510884311
